Interaction_ID,Timestamp,Customer_ID,Session_ID,Product_ID,Interaction_Type
I000001,2026-08-01 10:06:56,C0136,L1-00333,P025,View
I000002,2026-08-01 10:09:48,C0136,L1-00333,P023,View
I000003,2026-08-01 10:10:06,C0136,L1-00333,P023,Add_to_Cart
I000004,2026-08-01 10:10:28,C0136,L1-00333,P028,View
I000005,2026-08-01 10:13:13,C0136,L1-00333,P007,View
I000006,2026-08-01 10:24:19,C0130,L1-00322,P011,View
I000007,2026-08-01 10:24:49,C0130,L1-00322,P011,Add_to_Cart
I000008,2026-08-01 10:25:09,C0130,L1-00322,P033,View
I000009,2026-08-01 10:28:03,C0130,L1-00322,P025,View
I000010,2026-08-01 10:29:46,C0130,L1-00322,P018,View
I000011,2026-08-01 10:30:46,C0130,L1-00322,P007,View
I000012,2026-08-01 10:48:48,C0050,L1-00127,P032,View
I000013,2026-08-01 10:50:04,C0050,L1-00127,P032,Add_to_Cart
I000014,2026-08-01 10:52:33,C0050,L1-00127,P021,View
I000015,2026-08-01 10:54:42,C0050,L1-00127,P002,View
I000016,2026-08-01 10:55:15,C0050,L1-00127,P010,View
I000017,2026-08-01 10:55:31,C0050,L1-00127,P010,Add_to_Cart
I000018,2026-08-01 10:58:29,C0050,L1-00127,P001,View
I000019,2026-08-01 11:01:58,C0050,L1-00127,P009,View
I000020,2026-08-01 11:03:11,C0050,L1-00127,P030,View
I000021,2026-08-01 11:07:45,C0127,L1-00318,P016,View
I000022,2026-08-01 11:09:12,C0127,L1-00318,P017,View
I000023,2026-08-01 11:09:29,C0127,L1-00318,P016,Add_to_Cart
I000024,2026-08-01 11:09:55,C0127,L1-00318,P017,Add_to_Cart
I000025,2026-08-01 11:11:35,C0127,L1-00318,P011,View
I000026,2026-08-01 11:11:55,C0127,L1-00318,P011,Add_to_Cart
I000027,2026-08-01 11:15:30,C0127,L1-00318,P024,View
I000028,2026-08-01 11:16:57,C0127,L1-00318,P024,Add_to_Cart
I000029,2026-08-01 11:42:40,C0120,L1-00301,P002,View
I000030,2026-08-01 11:44:55,C0120,L1-00301,P020,View
I000031,2026-08-01 11:46:55,C0120,L1-00301,P009,View
I000032,2026-08-01 11:49:24,C0120,L1-00301,P029,View
I000033,2026-08-01 11:50:17,C0141,L1-00352,P033,View
I000034,2026-08-01 11:50:20,C0120,L1-00301,P029,Add_to_Cart
I000035,2026-08-01 11:52:19,C0120,L1-00301,P025,View
I000036,2026-08-01 11:52:35,C0141,L1-00352,P020,View
I000037,2026-08-01 11:54:29,C0141,L1-00352,P002,View
I000038,2026-08-01 11:54:46,C0120,L1-00301,P002,View
I000039,2026-08-01 11:55:12,C0141,L1-00352,P010,View
I000040,2026-08-01 11:55:33,C0141,L1-00352,P002,Add_to_Cart
I000041,2026-08-01 11:57:21,C0141,L1-00352,P017,View
I000042,2026-08-01 12:00:42,C0141,L1-00352,P011,View
I000043,2026-08-01 12:03:43,C0141,L1-00352,P025,View
I000044,2026-08-01 12:04:19,C0141,L1-00352,P025,Add_to_Cart
I000045,2026-08-01 12:19:10,C0185,L1-00455,P032,View
I000046,2026-08-01 12:20:25,C0185,L1-00455,P020,View
I000047,2026-08-01 12:21:07,C0185,L1-00455,P035,View
I000048,2026-08-01 12:25:05,C0185,L1-00455,P022,View
I000049,2026-08-01 12:28:30,C0185,L1-00455,P011,View
I000050,2026-08-01 12:29:16,C0185,L1-00455,P015,View
I000051,2026-08-01 12:30:14,C0185,L1-00455,P031,View
I000052,2026-08-01 12:32:05,C0185,L1-00455,P031,Add_to_Cart
I000053,2026-08-01 12:33:27,C0185,L1-00455,P003,View
I000054,2026-08-01 12:56:56,C0031,L1-00067,P026,View
I000055,2026-08-01 13:00:10,C0031,L1-00067,P032,View
I000056,2026-08-01 13:00:59,C0031,L1-00067,P031,View
