Date,Product_ID,Opening_Stock,Units_Sold,Replenishment_Units,Closing_Stock,Stock_Status
2026-08-01,P001,11,0,0,11,Low Stock
2026-08-01,P002,15,1,0,14,Low Stock
2026-08-01,P003,11,0,0,11,Low Stock
2026-08-01,P004,27,2,0,25,Healthy
2026-08-01,P005,11,0,0,11,Low Stock
2026-08-01,P006,21,1,0,20,Healthy
2026-08-01,P007,29,3,0,26,Healthy
2026-08-01,P008,20,0,0,20,Healthy
2026-08-01,P009,30,0,0,30,Healthy
2026-08-01,P010,28,0,0,28,Healthy
2026-08-01,P011,23,1,0,22,Healthy
2026-08-01,P012,21,0,0,21,Healthy
2026-08-01,P013,14,0,0,14,Low Stock
2026-08-01,P014,15,1,0,14,Low Stock
2026-08-01,P015,12,2,0,10,Low Stock
2026-08-01,P016,16,2,0,14,Low Stock
2026-08-01,P017,16,1,0,15,Low Stock
2026-08-01,P018,15,1,0,14,Low Stock
2026-08-01,P019,14,0,0,14,Low Stock
2026-08-01,P020,24,1,0,23,Healthy
2026-08-01,P021,20,0,0,20,Healthy
2026-08-01,P022,14,0,0,14,Low Stock
2026-08-01,P023,15,1,0,14,Low Stock
2026-08-01,P024,15,0,0,15,Low Stock
2026-08-01,P025,13,0,0,13,Low Stock
2026-08-01,P026,14,0,0,14,Low Stock
2026-08-01,P027,13,2,0,11,Low Stock
2026-08-01,P028,27,1,0,26,Healthy
2026-08-01,P029,11,2,0,9,Low Stock
2026-08-01,P030,13,0,0,13,Low Stock
2026-08-01,P031,12,0,0,12,Low Stock
2026-08-01,P032,16,0,0,16,Healthy
2026-08-01,P033,24,0,0,24,Healthy
2026-08-01,P034,23,0,0,23,Healthy
2026-08-01,P035,10,0,0,10,Low Stock
2026-08-01,P036,14,0,0,14,Low Stock
2026-08-02,P001,11,1,0,10,Low Stock
2026-08-02,P002,14,0,0,14,Low Stock
2026-08-02,P003,11,0,0,11,Low Stock
2026-08-02,P004,25,0,0,25,Healthy
2026-08-02,P005,11,0,0,11,Low Stock
2026-08-02,P006,20,0,0,20,Healthy
2026-08-02,P007,26,0,0,26,Healthy
2026-08-02,P008,20,0,0,20,Healthy
2026-08-02,P009,30,1,0,29,Healthy
