Order_ID,Order_Timestamp,Customer_ID,Session_ID,Product_ID,Quantity,Unit_Price,Total_Amount
O00001,2026-08-01 10:35:49,C0130,L1-00322,P011,1,42,42
O00002,2026-08-01 10:58:06,C0136,L1-00333,P023,1,89,89
O00003,2026-08-01 11:57:20,C0120,L1-00301,P029,2,299,598
O00004,2026-08-01 12:34:29,C0127,L1-00318,P016,2,125,250
O00005,2026-08-01 12:58:33,C0141,L1-00352,P002,1,85,85
O00006,2026-08-01 13:14:32,C0031,L1-00067,P028,1,135,135
O00007,2026-08-01 13:44:19,C0159,L1-00389,P006,1,285,285
O00008,2026-08-01 14:28:19,C0001,L1-00001,P020,1,145,145
O00009,2026-08-01 17:24:34,C0147,L1-00371,P014,1,285,285
O00010,2026-08-01 17:27:02,C0050,L1-00126,P027,2,145,290
O00011,2026-08-01 17:57:21,C0050,L1-00126,P007,3,165,495
O00012,2026-08-01 18:02:21,C0050,L1-00126,P004,2,62,124
O00013,2026-08-01 18:02:41,C0037,L1-00081,P017,1,115,115
O00014,2026-08-01 18:59:29,C0161,L1-00395,P015,2,95,190
O00015,2026-08-01 22:43:10,C0029,L1-00064,P018,1,52,52
O00016,2026-08-02 05:17:21,C0161,L1-00396,P016,1,125,125
O00017,2026-08-02 08:50:04,C0050,L1-00127,P032,1,225,225
O00018,2026-08-02 09:20:25,C0059,L1-00144,P025,1,89,89
O00019,2026-08-02 13:33:02,C0103,L1-00252,P018,1,52,52
O00020,2026-08-02 13:44:23,C0103,L1-00252,P001,1,64,64
O00021,2026-08-02 15:14:52,C0045,L1-00102,P032,1,225,225
O00022,2026-08-02 15:28:18,C0005,L1-00007,P009,1,55,55
O00023,2026-08-02 15:39:43,C0022,L1-00047,P022,1,225,225
O00024,2026-08-02 15:46:57,C0005,L1-00007,P032,1,225,225
O00025,2026-08-02 15:56:21,C0103,L1-00251,P013,2,149,298
O00026,2026-08-02 16:36:54,C0005,L1-00007,P036,1,65,65
O00027,2026-08-02 17:46:38,C0085,L1-00220,P033,1,99,99
O00028,2026-08-02 18:05:28,C0078,L1-00206,P017,2,115,230
O00029,2026-08-03 08:30:33,C0121,L1-00305,P004,1,62,62
O00030,2026-08-03 08:49:07,C0142,L1-00359,P016,3,125,375
O00031,2026-08-03 09:10:30,C0183,L1-00445,P008,1,52,52
O00032,2026-08-03 13:09:53,C0200,L1-00488,P008,1,52,52
O00033,2026-08-03 17:17:11,C0136,L1-00334,P006,1,285,285
O00034,2026-08-03 18:50:49,C0195,L1-00476,P023,2,89,178
O00035,2026-08-04 03:37:28,C0023,L1-00051,P013,1,149,149
O00036,2026-08-04 09:18:09,C0153,L1-00385,P031,2,96,192
O00037,2026-08-04 09:56:07,C0151,L1-00380,P012,1,38,38
O00038,2026-08-04 10:09:18,C0153,L1-00385,P019,1,24,24
O00039,2026-08-04 14:22:56,C0126,L1-00317,P011,1,42,42
O00040,2026-08-04 16:35:16,C0034,L1-00073,P033,1,99,99
O00041,2026-08-05 09:17:10,C0185,L1-00454,P018,1,52,52
O00042,2026-08-05 11:33:32,C0163,L1-00404,P011,2,42,84
